日期,上價,中價,下價,平均價,增減%,交易量(公斤),增減%
085/11/04,17,12,6,12.1,16,"6,720",-9
085/11/06,17,11,5,9.2,  -  ,"6,720",  -  
085/11/07,13,9,5,7.9,-14,"6,358",-5
085/11/08,13,9,5,6.9,-13,"5,516",-13
085/11/09,12,8,4,7.2,4,"5,276",-4
085/11/10,12,8,4,8.6,19,"4,148",-21
085/11/11,17,12,6,7.7,-10,"4,760",15
085/11/12,18,13,8,12.8,66,"5,921",24
085/11/14,23,16,8,16.8,  -  ,"3,735",  -  
085/11/15,25,18,10,17.5,4,"6,553",75
085/11/16,30,23,15,18.6,6,"8,577",31
085/11/17,30,23,16,20.9,12,"8,036",-6
085/11/18,30,25,20,21.4,2,"6,624",-18
085/11/19,35,30,25,25.5,19,"5,846",-12
085/11/21,35,28,20,27.8,  -  ,"7,432",  -  
085/11/22,30,24,18,25.3,-9,"7,757",4
085/11/23,30,23,15,21.7,-14,"7,131",-8
085/11/24,32,24,15,21.2,-2,"6,057",-15
085/11/25,30,22,12,21.2,  -  ,"5,820",-4
085/11/26,30,22,14,19.8,-7,"6,214",7
085/11/28,28,21,14,22.1,  -  ,"4,948",  -  
085/11/29,24,18,12,20.5,-7,"5,983",21
085/11/30,28,20,12,20,-2,"6,258",5
085/12/01,26,22,18,21,5,"5,948",-5
085/12/02,26,20,14,22,5,"5,064",-15
085/12/03,30,24,15,22.4,2,"3,767",-26
085/12/04,32,24,15,23.6,5,"3,631",-4
085/12/06,33,27,20,26.8,  -  ,"4,767",  -  
085/12/07,33,26,20,27,1,"4,410",-7
085/12/08,35,28,20,27.4,1,"4,059",-8
085/12/09,30,25,20,27,-1,"3,706",-9
085/12/10,30,25,20,25.6,-5,"3,655",-1
085/12/11,35,25,15,26.1,2,"2,900",-21
085/12/12,40,30,20,29.6,13,"3,102",7
085/12/14,35,28,20,31.4,  -  ,"2,715",  -  
085/12/15,45,33,20,31.5,0,"2,581",-5
085/12/16,40,30,20,32.9,4,"2,970",15
085/12/17,30,24,15,28.5,-13,"2,712",-9
085/12/18,30,23,15,25.2,-12,"3,224",19
085/12/19,30,20,10,18.8,-25,"3,577",11
085/12/21,28,19.3,10.9,19.3,  -  ,"2,982",  -  
085/12/22,27.6,20,15.1,20.5,6,"3,378",13
085/12/23,25,18,10,17.5,-15,"3,083",-9
085/12/24,20,14,8,15.4,-12,"3,100",1
085/12/25,20,15,8,13.6,-12,"2,990",-4
085/12/26,20,15,8,16,18,"2,164",-28
085/12/28,24,17,10,16.3,  -  ,"3,356",  -  
085/12/29,25,18,10,16.6,2,"3,645",9
085/12/30,25,18,10,13.8,-17,"3,498",-4
085/12/31,25,18,10,13,-6,"1,951",-44
086/01/01,28,20,10,15,15,"2,031",4
086/01/02,30,20,10,15.3,2,"1,734",-15
086/01/03,30,20,10,13.4,-12,"2,060",19
086/01/05,30,20,10,16.1,  -  ,"3,039",  -  
086/01/06,25,18,10,15.1,-6,"4,322",42
086/01/07,25,18,8,12.6,-17,"2,800",-35
086/01/08,25,18,8,15.1,20,"1,353",-52
086/01/09,30,20,10,14.3,-5,"2,588",91
086/01/10,35,25,10,15.3,7,"2,176",-16
086/01/12,20.4,17.2,15,17.4,  -  ,"3,583",  -  
086/01/13,35,25,10,17.6,1,"3,442",-4
086/01/14,35,25,10,15.2,-14,"2,729",-21
086/01/15,35,25,10,14.1,-7,"2,275",-17
086/01/16,40,30,20,14.2,1,"2,194",-4
086/01/19,45,35,20,12,  -  ,60,  -  
086/01/24,35,25,15,13.4,  -  ,"1,996",  -  
086/01/26,35,25,15,19.7,  -  ,"2,181",  -  
086/01/27,35,25,15,13,-34,"1,870",-14
086/01/28,35,25,15,25,92,390,-79
086/01/29,30,20,10,17.7,-29,"1,110",185
086/01/30,30,20,10,15,-15,270,-76
086/01/31,30,20,10,30,  -  ,444,64
086/02/03,30,20,10,34.2,  -  ,777,  -  
086/02/05,30,20,10,33.6,  -  ,168,  -  
086/02/20,50,35,20,35,  -  ,300,  -  
086/02/21,50,35,20,20.2,-42,"2,030",577
086/02/27,45,30,15,25,  -  ,30,  -  
086/02/28,40,30,20,25,  -  ,30,  -  
086/03/02,40,30,20,29.4,  -  ,270,  -  
086/03/04,40,30,20,32.4,  -  ,172,  -  
086/03/08,45,35,20,17.6,  -  ,275,  -  
086/03/09,40,30,20,12,-32,150,-45
086/03/10,35,25,15,21.8,82,650,333
086/03/12,40,30,20,11.4,  -  ,140,  -  
086/03/13,40,30,20,10.5,-8,400,186
086/03/14,40,30,20,8.3,-21,150,-63
086/03/15,40,30,20,12.5,51,250,67
086/03/16,40,30,20,17,36,975,290
086/03/17,40,30,20,19.6,15,"1,110",14
086/03/19,40,30,20,23.6,  -  ,"1,248",  -  
086/03/20,35,25,15,18.4,-22,940,-25
