year,day_of_year,special_avg,smooth_14day
2015,318,36.86698529461051,35.54776915311218
2016,318,48.8757793367766,47.5281975846761
2017,318,36.94581495080508,36.11188151376608
2018,318,34.95621331539792,34.026399605375865
2020,318,34.244757556184666,33.29384226450782
2021,318,38.948027503804134,37.94199152690412
2023,318,44.962652955058545,43.94776507757821
2024,318,51.77980604238271,50.402495144142996
1996,319,14.238887325315192,14.709185367432108
1997,319,18.05698208340258,18.617234101779676
1998,319,24.454404499199512,25.58554666432019
1999,319,20.1637296658004,20.749389376372353
2000,319,26.321636661315864,27.491936985858903
2001,319,20.10150237998227,20.68535468613024
2002,319,18.239833454368345,18.8286751351424
2003,319,18.425628550360273,18.954511645922274
2004,319,23.322329158667703,24.045948527842842
2005,319,32.418300591517536,33.308275879989374
2006,319,25.694884864758087,26.773640062805324
2007,319,28.141289524905112,29.291846194363323
2008,319,32.173001602503,33.21165167496992
2009,319,25.362766069415404,26.149693852606653
2011,319,30.586933790899625,31.426632810506703
2012,319,35.98958515325246,37.589737291471174
2013,319,33.40137846963468,34.47968457848348
2014,319,32.37855852326171,33.30794186640325
2015,319,34.345027484822324,35.410646915617185
2017,319,34.418464645115904,35.948762356566746
2018,319,32.56496557797369,33.896384250286324
2019,319,33.872934716289656,34.92403790470847
2020,319,31.902178333257307,33.14264852311929
2022,319,45.58942367613868,46.84098405244208
2023,319,41.88689525850008,43.74925084625752
2024,319,48.2377077342524,50.2099064959297
1996,320,15.085243778652428,14.677502998187563
1998,320,25.90796913438132,25.53113416316769
1999,320,21.362257495686144,20.704523881335863
2000,320,27.88618918158869,27.4333697823428
2001,320,21.296331433150247,20.64062765049731
2002,320,19.324005300047258,18.78809042334172
2003,320,19.52084401727858,18.913513529007794
2005,320,34.34523752731844,33.31648443619953
2006,320,27.2221833907027,26.78014619985993
2007,320,29.81400182682002,29.229230155246245
2008,320,34.085358018238935,33.14006483723552
2010,320,28.416215850902066,28.004428000895132
2011,320,32.405014671117115,31.434377650943674
2012,320,38.12879848863932,37.50965832885756
2013,320,35.38674934674491,34.40536452932695
2014,320,34.30313319892467,33.235897652322265
2016,320,48.23876908764833,47.53972671290676
2017,320,36.46429090954339,35.87217923031515
2018,320,34.500620249573025,33.823925269447074
2019,320,35.886334797041265,34.9326147851602
2020,320,33.7984370711057,33.15072639331288
2021,320,38.44040812586442,37.92408214433676
2022,320,48.29924938447374,46.85252763554194
2024,320,51.10494688730725,50.102574733761045
1996,321,15.468053046061797,14.756625406485117
1997,321,19.615743164234633,18.61173180812986
1998,321,26.56542027205747,25.667021984543954
2000,321,28.593840433903864,27.579633407821024
2002,321,19.814379099825963,18.889445221429778
2004,321,25.335619022885997,24.038841786359914
2005,321,35.216796211404095,33.4966259007053
2006,321,27.912984562628427,26.92292710155395
2007,321,30.570574035087386,29.385605196984972
2008,321,34.950321894448415,33.31884322846735
2009,321,27.552195757535397,26.14196535257044
2010,321,29.13731727505168,27.996254867995052
2011,321,33.22733747270119,31.604342607381746
2012,321,39.09637035097083,37.70964464702251
2013,321,36.28473785738444,34.59096874436115
2015,321,37.309846961087764,35.40018135577115
2016,321,49.462895666318836,47.52585217476423
2017,321,37.38962355212474,36.063435172609466
2018,321,35.37612198866973,34.00488171946935
2019,321,36.797000990789044,34.922293080640074
2021,321,39.41588752079495,38.00294655125682
2023,321,45.50276317176852,43.73648714096464
2024,321,52.40180675685802,50.37062121235787
1996,322,14.488242937043534,14.705636385644627
1997,322,18.373201301274293,18.623317550600458
1998,322,24.8826572730317,25.579451508553557
1999,322,20.516842871254415,20.717461357713457
2000,322,26.78258895775721,27.485376430459212
2001,322,20.453525842778248,20.65352520052925
